x,y,z,x,y,z
9.730916421,29.22191866,6.329973421,3.121790886,0.3207443357,-2.00710535
18.3222665,30.70586776,12.65882924,0.9444128871,0.8480168581,-0.8199139237
26.40918997,30.74962507,12.91309041,-1.090796232,0.5473953485,2.288840532
23.46097613,30.32026101,6.937476374,-1.423126817,0.3095721006,5.833621025
12.8429396,30.21862201,3.092089232,-0.5607874393,1.059420705,8.049668312
4.247516574,29.21437131,4.651447503,0.2563000917,1.207360029,8.819373131
-4.861267481,27.70605466,9.287522081,0.1398996413,-0.1042679772,8.164198875
-17.27245817,25.61671624,14.00899998,-1.568690419,-4.031413078,7.465085983
-29.70009498,20.70895823,4.342808255,-2.276465654,-4.04784584,8.245668411
-51.26281289,20.29241857,-3.588266484,-2.062864065,0.7564673424,9.070815086
-69.02751331,8.169249289,-3.58351549,-1.683309436,2.074002504,4.561019421
-51.76974768,-5.761072295,3.700560737,-3.368618488,0.3195308447,0.885615468
-22.49656879,-7.670190344,3.756923845,-5.212521076,1.264636517,0.8043652773
-10.41169562,-10.26781088,-1.704477521,-5.906148911,1.328734756,0.8392729163
-5.61808655,-13.30119191,-7.572517321,-5.400236607,-0.1336012483,0.05599612743
-0.2995703911,-16.36098747,-11.21914247,-4.381713867,-0.8554465175,-0.9308880568
8.727501596,-21.35361806,-12.37278176,-3.457515001,-0.1996912956,-1.515640616
14.32677882,-25.204806,-13.79793614,-2.818740845,0.4815554023,-2.206916809
12.06840017,-23.2152291,-16.4022968,-2.111643553,0.7560831904,-3.663592339
7.560859032,-16.45408544,-19.13870563,-0.8915127516,1.201036215,-5.400405884
8.078432123,-9.458011334,-17.97274346,0.4038990438,2.946249723,-5.314321518
7.73617819,-5.628969763,-15.60224883,1.752856851,4.654929161,-3.719696045
-2.440831894,-4.961835057,-15.60238795,3.900606155,3.803933144,-3.259437323
-15.60109966,-5.478662297,-15.92048242,6.068906784,1.848919749,-4.10997963
-26.03486216,-6.318489904,-12.86926998,6.540117264,1.596740484,-4.548019409
-32.45370979,-5.66118218,-9.33092517,5.851586342,2.24294591,-3.86008358
-43.7880171,-3.560080838,-9.231271202,5.733080387,1.390265703,-5.726440907
-34.61953641,4.741602406,-3.103995943,4.422328949,1.460102558,-7.269243717
-20.58854438,10.46267295,0.2711521058,2.44782114,2.598045826,-6.715499878
-12.95861064,13.95423028,-0.9250637581,1.273795128,3.001621008,-5.799483776
-7.114615732,17.76634878,-1.380637196,0.404712528,2.82568574,-4.917909622
-2.996417612,22.90169389,-2.716243995,0.103428036,2.627001524,-4.168327808
-0.2026103384,29.52859625,-4.201495997,1.106605053,2.57260704,-3.119372368
3.916886736,32.16915518,-2.156657809,2.144729376,2.823340654,-1.706786275
7.958563634,32.01359988,4.878769235,1.294771194,2.983390808,-0.2311388552
10.39336151,31.21611562,8.959827419,-0.5204280615,3.197897673,1.270768285
12.36295595,30.73865476,9.931224474,-2.292951107,2.494748116,3.171980381
9.271915347,29.45198414,6.723502784,-2.891513586,0.7670580745,4.834869385
2.601611362,27.20423561,3.406424062,-2.359008551,-0.5999964476,5.769364834
-3.620068274,24.71248192,4.440810364,-2.359145164,-0.2267790288,6.102258205
-9.418929616,21.06089885,5.632070652,-3.118813753,0.8555779457,5.938051701
-10.29430258,16.1519227,3.090762368,-3.452543259,0.2785421908,7.744041443
-37.69650406,10.83604799,-9.311527811,-2.198328495,-1.668551445,8.269470215
-68.33745015,-4.322356419,-24.2977426,1.320359111,-2.842660189,5.361616611
-61.02698919,-17.59743247,-4.913889649,-0.09172552079,-2.435045958,2.632642984
-37.95462659,-16.81212381,6.304898601,-3.516127825,-0.7504925728,1.063699961
-16.9182005,-11.60944995,2.021840174,-4.281272888,-1.563124895,0.5420436263
-2.269550614,-6.664944212,-4.333762779,-2.969945192,-3.636367559,1.368670583
4.266364483,-4.993604406,-5.35538137,-2.319174767,-2.691244125,2.618569136
3.576526946,-8.049459711,-3.510901504,-3.360591888,0.1192082986,2.744531393
5.43878446,-7.783978052,-11.46314295,-3.204318047,1.722692609,2.270619869
16.11660588,-8.024040607,-17.51615938,-1.422165871,2.56269908,2.594333172
31.69614604,-13.02558165,-18.82628219,1.3836869,2.406983852,4.525515556
33.47459598,-17.93651128,-12.34247898,3.332808971,1.795444727,6.691431522
19.90261495,-18.4254089,-4.527261152,3.815920353,1.338237047,7.013074398
5.144612713,-11.64233398,-5.431722851,4.888065815,1.904522419,5.387833118
-5.649955852,-6.640863663,-6.787716605,6.990990639,2.645898581,3.553487062
-14.4931922,13.42196231,45.58278923,-7.841185093,-0.1600667238,1.842716455
-9.741159583,-6.291433555,-1.292329967,-6.701807499,2.390974283,2.170888662
-16.92176608,-5.394904987,-19.92821,4.330263615,-4.751450539,1.125115633
-20.06854903,10.58367599,-13.43001118,5.991179943,-6.642112255,-2.406091213
-8.158933646,19.47790369,-8.485822837,1.974410653,2.000350475,0.9852381349
-4.790310031,13.10676707,-9.424039507,1.69879961,1.619407058,1.773616195
-3.616443946,4.182569763,3.014785043,3.081571341,-3.087075949,1.722894311
-0.6875742679,5.653427913,-0.1611900944,3.664179087,-1.842265487,1.705780387
0.3546989886,4.266738869,0.6786956726,2.730421066,-0.5244274735,1.77876544
9.750635267,-2.097425284,2.616018365,1.517053246,-1.040294766,1.358259201
14.23614285,-8.476130295,2.734987859,0.9246176481,-1.978921175,1.508415461
10.99934938,-12.68388185,3.131774177,0.9150909781,-2.577041388,0.8933338523
9.59349591,-11.53225565,7.050467962,-0.8896722794,-2.336435556,0.6249560118
15.3788434,-16.90103777,7.602968574,-3.322118521,-1.343920231,1.694248676
9.332024071,3.228427794,2.156400035,-5.374483109,0.7701737881,1.568210363
4.609225734,14.05713653,-3.159900201,-3.946017981,-1.02756989,1.126871943
6.277930515,7.279999771,-0.3157389972,-3.303587198,-2.648762226,1.764600635
0.3427975384,3.182982386,-0.5801027946,-2.691519737,-0.9627920389,1.75707376
-0.949814753,5.460054043,-3.422051254,-2.411941528,-1.287152052,4.240768433
-12.08840368,6.738489925,-6.664870562,-1.148765326,-1.843057752,5.713546753
-13.44350194,9.477496372,-8.03777921,1.268824458,-1.135147691,6.151359558
-3.443529511,7.495028423,-3.427522964,3.515760422,-0.1961142123,7.320524216
