lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z
0.31136605,-5.3243294,-8.300403,-1.0582166,2.486301,-0.9381087
-1.5203397,-7.3283186,-8.554042,-1.0557731,1.177179,-1.0841012
-5.449055,-10.308878,-7.7497544,-1.3141615,-0.16973919,-0.9002361
-8.922835,-11.326426,-6.815955,-1.4974157,-1.0176716,-0.44759834
-10.775778,-8.532506,4.249653,-2.6409981,2.3115988,-0.23563433
-9.887741,-7.7976108,3.126821,-3.1638834,6.2656894,-0.23991026
-4.314259,-6.835098,4.5798626,-1.21215,5.376907,0.2145601
-1.6351951,-7.5029945,1.1012967,0.8641962,1.7672575,0.7760051
-2.3318057,-7.495816,-2.0063818,0.8452599,0.65673715,0.74424106
-2.6359932,-5.951847,-1.4003994,0.5312844,0.38613182,0.41736138
-2.7556343,-6.0116677,-1.0486546,0.26610035,1.4105227,-0.17332791
-3.2416766,-7.32114,-2.5354948,0.032756682,1.8497219,-0.68643963
-5.142475,-8.788837,-2.638386,-0.1260636,1.9182131,-0.9039012
-7.697112,-10.950753,-1.6423737,-0.39544725,2.494853,-0.8403731
-9.835099,-11.02493,0.35682967,-0.968422,4.188732,-0.49463356
-8.477471,-8.3123665,2.923132,0.64429116,2.5040157,-0.21181129
-10.129416,-11.204392,-3.9191444,1.0865445,-2.3615355,0.19073705
-10.455139,-9.753445,-1.8050855,-0.19753273,-2.5582283,0.1565296
-11.664113,-10.945967,7.0148587,1.2856808,-0.77386713,0.80838
-5.2692947,-13.124333,-4.290331,2.9985728,-3.692648,1.6379106
-3.0355947,-15.614365,-5.6356955,0.9265026,-2.983378,0.9568159
-2.0470598,-17.256739,-1.8720846,1.1659547,-0.50814855,0.6342122
-2.4394827,-14.220844,-3.0595229,2.0858908,0.7770741,0.8358681
-2.2337,-7.402496,-6.4471617,1.092653,-2.5649476,0.53830916
-5.8630137,-5.7673006,-2.4849463,0.17997088,-2.007244,0.28725094
-5.549554,-4.0292144,-3.5790644,0.42133188,-1.923558,0.940323
-2.516053,-3.5647075,-5.0012984,0.11216683,-2.11231,0.84930676
-0.6415756,-3.330211,-3.9047875,-0.65017056,-2.1330786,0.45095798
1.189831,-2.7053852,-3.3924243,-1.1034192,-1.767792,0.22433366
3.464209,-3.1986058,-4.213761,-1.8364359,-1.2449067,-0.14645062
3.112464,-7.065108,-0.63918275,-2.3385525,0.13934954,-0.23807772
-8.889337,-22.480568,42.624546,1.6619626,-1.8893505,0.1357608
-14.728421,-17.460127,-1.1036894,-1.4754252,-1.347529,2.2450926
-2.1332014,-6.780063,4.345366,-0.31909135,-0.6749099,-0.3981197
1.9319052,-4.668397,0.91226363,-1.1193012,0.85953844,0.06001574
-1.9414765,-15.066109,6.195915,-0.23479441,2.7617931,-0.26190075
-11.453245,-19.332212,-2.0757737,1.045007,0.9804862,0.9647569
-0.6583253,-6.1911297,-9.997811,0.5636593,0.44171894,-0.5428905
-0.6008976,-6.1648083,-6.0140605,-0.37834352,1.6860148,-0.7744016
-1.041476,-6.9523463,-6.9092755,-0.596416,1.525362,-0.66689247
-4.4817567,-9.981061,-6.0786667,-0.34352523,0.045279052,-0.99064153
-8.317152,-11.264213,-6.1624155,-0.80654746,-1.1771027,-0.6455128
-9.700802,-9.451948,-0.9457632,-2.601293,0.9841513,-0.2405211
-5.61416,-7.77129,3.9478583,-3.113183,4.3713756,0.3129065
-1.5299109,-7.022037,2.1188445,0.404839,2.226691,0.38742986
-2.6048865,-7.177571,-2.0518453,0.74874604,0.7037724,0.34955734
-3.6173496,-7.3977103,-1.7739788,0.4989095,0.45515758,0.16874656
-3.8760736,-7.8550386,-2.6096723,0.14393088,1.1777899,-0.50257456
-6.2437716,-8.611469,-2.164308,-0.16088189,2.03855,-0.61558133
-7.1751776,-9.159725,-1.2352947,-0.46141875,2.7709558,-0.40422818
-9.499805,-9.372986,0.62482584,-0.93482536,3.7843516,-0.26312247
-7.5699935,-10.474282,-0.17706887,0.7597413,-1.1832111,-0.4457658
-9.47827,-9.859028,-1.0390832,0.24533153,-1.6370707,-0.04199575
-11.094322,-10.117453,3.289533,1.0303466,0.36414132,0.3141282
-7.8311105,-9.370592,-1.8888344,2.5672383,-3.1293705,1.3471472
-4.2424746,-12.260225,-6.1624155,1.640583,-4.451931,1.1467894
-3.679862,-16.679768,-2.8992038,1.0676082,-2.8526566,0.5584671
-0.9529416,-14.917753,-2.1499512,1.9851009,1.657305,0.7369109
-1.3621143,-8.554042,-5.0132627,1.7138847,-1.3542484,0.9647569
-2.638386,-6.669993,-3.5383866,0.31748787,-2.1911092,0.5199837
-5.8893347,-3.610171,-2.8082764,0.5532749,-1.3505833,0.60794574
-2.9039893,-3.3613176,-4.395615,-0.08330429,-1.8612516,0.8896227
0.55304116,-3.6918263,-3.519244,-0.91222405,-1.7806197,0.3672719
3.6053855,-3.461816,-3.083451,-1.5572788,-1.5894246,-0.31748787
3.5096726,-5.6117673,-0.45732823,-1.8633132,-0.78180814,-0.41583428
1.8242282,-7.960323,4.0818563,-1.6855567,-0.9932376,-0.33642414
-9.789336,-17.570198,25.884956,0.44026816,-0.190508,0.54136336
-13.313665,-15.734005,2.2025933,-0.9250518,-0.2320456,1.7209858
-6.289235,-9.01137,5.5782676,-0.7130878,-1.2974396,-0.071927264
-1.7165512,-6.8422766,1.9848464,-0.7845569,-0.69934374,-0.0077883024
-0.35682967,-6.669993,0.948156,-1.0368369,-0.41102386,0.18523943
0.72053874,-8.503793,4.2014976,-1.0130138,0.7581378,0.14492351
-0.5913263,-10.993824,1.3070793,-0.3148154,1.7196114,-0.14767233
-4.12732,-14.340784,-3.0068808,0.13354649,0.29755896,-0.0193944
-7.19432,-17.862421,-5.006084,0.381016,1.0275215,-0.23746687
-4.520042,-11.714362,-8.676076,0.79639214,0.5266267,-0.47630814
-1.1802598,-5.556732,-9.863813,-0.011835165,2.7330832,-0.47752985
-1.1539388,-4.927121,-11.113464,-0.6892648,2.494853,-0.660784
-4.0651064,-7.7832537,-9.236296,-0.89573115,0.5681643,-0.9429954
-7.728219,-9.890134,-6.669993,-1.0844829,-1.8539214,-0.5661027
-9.93799,-9.001799,-0.6152545,-2.340385,-0.10193513,0.14553437
-9.1669035,-8.072785,1.5634105,-3.7631245,5.310935,0.34467056
-2.3030918,-6.8279195,10.339985,-1.5982054,5.2858906,0.5193729
-1.6663018,-8.228618,3.6029928,1.396855,3.0201817,1.0716552
-1.5155541,-7.402496,-2.5259235,1.2600251,1.8619388,0.9598701
-1.6328024,-6.6963143,-2.204986,1.0865445,1.6524181,0.60855657
-2.14038,-7.622935,-3.1842487,0.5196783,2.4801927,-0.35597125
-3.9311085,-8.2094755,-2.8489544,-0.27449948,2.6738312,-0.9698727
-6.0284176,-9.004191,-2.2959132,-0.52800107,2.0128944,-1.1983296
-9.705587,-9.298808,0.3687938,-0.5774797,1.93043,-1.25636
-11.599507,-8.633005,0.7253244,-0.09735378,1.500928,-0.8751914
-10.117453,-7.752147,-1.2855439,0.55632913,-0.22410458,-0.4537068
